codigo;articulo;unidades;venta
780;"AROS DE CEBOLLA";255;1980
949;"LIMONADA PASSION FRUIT";162;1960.4
1262;"Xosé Lois Sebio Salvaxe 2024 - Albariño, Treixadura, Godello, Verdello (D.O. Ribeiro)";30;1950
1777;"ROTJA 1,5 KG";10;1950
106;"PALOMA";128;1912.8
1194;"Krug Grande Cuvée 172ème Édition - Brut";5;1900
1512;"Cantayano";185;1892
1774;"ROTJA 1,2 KG";12;1872
482;"blanco POULLY-FUME SAUVIGNON BLANC";148;1864.2
1575;"PARGO 1,3 KG";11;1859
305;"BABA CAFE CALETA";161;1821.4
398;"CHATEAU SAINT MAUR EXCELENCE 2023";20;1800
1390;"Chateau Saint Maur Excellence 2022 Magnum 150cl - Garnacha Tinta, Syrah, Cinsault, Monastrell (A.O.C";9;1800
2064;"Arnaud Baillot Batard Montrachet MG";1;1800
1654;"GALLO 1,7 KG";8;1768
1726;"RODABALLO 1,4 KG";9;1764
91;"MARGARITA";118;1720
1772;"ROTJA 1,0 KG";14;1712
159;"CAFE CORTADO";701;1706.1
1392;"'Domaine Chateau d''Esclans 2022 Magnum 150cl - Grenache, Vermentino (A.O.C. Provence)'";10;1700
1964;"LANGOSTA 1,6 KG";5;1696
1727;"RODABALLO 1,5 KG";8;1680
1207;"Adrien Dhondt-Grellet Les Terres Fines 1er Cru Blanc de Blancs - Extra Brut";12;1675
1729;"RODABALLO 1,7 KG";7;1666
1653;"GALLO 1,6 KG";8;1664
1703;"LUBINA 1,6 KG";8;1664
1504;"PIÑA NATURAL";165;1640.41
1458;"Domaine Prieuré-Roch Vosne-Romanée 1er Cru Les Suchots 2021 - Pinot Noir";2;1640
279;"HIERBAS IBICENCAS";638;1618.2
1246;"Oxer Bastegieta Kalamity Blanco 2024 - Viura (D.O. Rioja)";7;1610
1385;"Sasesibo Rosado Ibiza 2022 - Monastrell (D.O. Ibiza)";32;1600
1731;"RODABALLO 1,9 KG";6;1596
1275;"Sangarida La Yegua 2021 - Godello (D.O. Bierzo)";29;1586
1227;"Recaredo Terrers 2019 - Brut Nature";29;1578.5
1698;"LUBINA 1,1 KG";11;1573
1892;"Domaine Comte Lafon Mersault 1er Cru Charmes";3;1570
1213;"Bérêche & Fils Brut Réserve - Brut";15;1560
1314;"Damp Frères Chablis Vieilles Vignes 2023 - Chardonnay (A.O.C. Chablis)";31;1550
259;"CLASE AZUL REPOSADO";34;1522
1335;"Xavier Monnot, Puligny-Montrachet, 1er Cru Les Folatières 2022 - Chardonnay";4;1520
1383;"XF Sierra de Cantabria 2021 - Garnacha, Sauvignon Blanc, Viura, Tempranillo... (D.O. Rioja)";25;1500
1386;"Rosado 32 Levante 2022 - Cinsault, Ugni blanc, Syrah, Grenache (A.O.C. Provence)";22;1470
1724;"RODABALLO 1,2 KG";9;1461.6
1251;"Forjas del Salnes Leirana 2023 - Albariño (D.O. Rias Baixas)";29;1450
1322;"Baron Thénard, Montrachet 2019 - Chardonnay";1;1450
2030;"MENU 120";12;1440
611;"POLO Mango";193;1438.2
1648;"GALLO 1,1 KG";10;1430
1888;"CALAMAR 900G";21;1425.6
1187;"Jacquesson 747 - Extra Brut";8;1400
1338;"Domaine Pernot Belicard, Puligny-Montrachet 1er Cru Les Pucelles 2022 - Chardonnay";6;1400
1552;"David Duband 2019 Echezaux MG";1;1400
1339;"Domaine Leflaive Puligny-Montrachet Village 2023 - Chardonnay";3;1390
668;"SANGRIA CHAMPAGNE";13;1350
1226;"Gramona Imperial 2018 - Brut";27;1350
1579;"PARGO 1,7 KG";6;1326
1240;"Marques de Murrieta Capellanía 2017 - Viura (D.O. Rioja)";8;1310
1412;"Vega Sicilia Único 2014 - Tempranillo, Cabernet Sauvignon (D.O. Ribera del Duero)";2;1300
1483;"'Clos Rougeard ''Les Poyeux'' 2015 - Cabernet Franc (A.O.C. Saumur-Champigny)'";2;1300
1886;"CALAMAR 700G";23;1288
1958;"LANGOSTA 1,0 KG";6.1;1280
1254;"Do Ferreiro Cepas vellas 2023 - Albariño (D.O. Rias Baixas)";14;1260
1891;"Comtesse Cherissey La Genelotte MG";2;1260
1532;"BASIL PORN";83;1258.2
1216;"La Rogerie Bourg Sud Réserve Perpétuelle - Extra Brut";6;1250
1530;"MEXICAN MULE";76;1218.9
1624;"DORADA 1,2 KG";8;1201.2
1193;"Delamotte Blanc de Blancs - Brut";8;1200
1387;"Rosado 32 Levante 2022 Magnum 150cl - Cinsault, Ugni blanc, Syrah, Grenache (A.O.C. Provence)";8;1200
1517;"Benoit Ente Puligny 2023";3;1200
666;"POLO Fresa";172;1185.31
1924;"CIGALA TRONCO 0,1 KG";39;1184
1780;"ROTJA 1,8 KG";5;1170
158;"DOBLE ESPRESSO";339;1164
776;"SIRVIA PUTTANESCA";58.5;1139.25
669;"TINTO DE VERANO";90;1134.8
1622;"DORADA 1,0 KG";9;1131
157;"CAFE SOLO";587;1130.5
1249;"Fulcro Nas Dunas 2022 - Albariño (D.O. Rias Baixas)";8;1120
1327;"La Croix-Canat La Vendangette 2022 - Sauvignon Blanc (A.O.C. Sancerre)";17;1120
1732;"RODABALLO 2,0 KG";4;1120
1268;"M.Cantalapiedra Majuelo del Chiviritero 2022 - Verdejo (D.O. Castilla y León)";15;1114
1267;"M.Cantalapiedra Cantayano 2024 - Verdejo (D.O. Castilla y León)";23;1100
1273;"Xurxo Ceibo 2022 - Godello (D.O. Valdeorras)";18;1080
221;"BOTELLIN SIN ALCOHOL";187;1060.8
1366;"Gros Ch & Fils Ladoix 1er Cru Les Gréchons 2020 - Chardonnay (A.O.C. Ladoix)";6;1050
1319;"Jean-Marc Pillot, Chassagne Montrachet 1er Cru Les Vergers 2022 - Chardonnay";4;1040
1337;"Domaine Thomas Collardot, Puligny-Montrachet, Climats 2022 - Chardonnay";4;1040
1647;"GALLO 1,0 KG";8;1040
1354;"Pierre Girardin, Mersault 1er Cru Perrières 2022 - Chardonnay (A.O.C. Meursault)";2;1020
2040;"Simon Colin Chasagne Montrachet";6;1020
1435;"Oxer Wines Kalamity Tinto 2024 - Tempranillo, Garnacha, Graciano (D.O.Ca. Rioja)";5;1010
