codigo;articulo;unidades;venta
1569;"PARGO 0,7 KG";3;273
1808;"DENTON 2,1 KG";1;273
1753;"VIRREY 1,6 KG";1;272
88;"DAIQUIRI FRESA";21;270
887;"2020 1 er Cru Hameau de Blagny  Comtesse de Ch�risey";1;270
941;"Jean Marie Bouzereau 1er cru Les Poruzots";1;270
942;"Jean Marie Bouzereau 1er cru Le Charmes";1;270
1153;"Vincent Dancer, Mersault Les Corbins";1;270
1353;"Vincent Dancer, Meursault Les Corbins 2022 - Chardonnay (A.O.C. Meursault)";1;270
1867;"Otazo Pago de Otazu";3;270
1896;"La Grapp'A, La Pierre";3;270
1418;"Marta Maté Los Perejiles 2021 - Tempranillo, Albillo (D.O. Ribera del Duero)";2;266
676;"PIERRE DAMOY, GEVREY CHAMBERTIN 2020";1;260
821;"2022 Ceibo Xurxo MG";2;260
894;"2022 1er Cru Les Caillerets  Coffinet-Duvernay";1;260
901;"2020 Les Charmes Jean Monnier";1;260
1186;"Bruno Paillard - Extra Brut";2;260
1198;"Minière F&R, Influence - Brut";2;260
1797;"DENTON 1,0 KG";2;260
1807;"DENTON 2,0 KG";1;260
199;"FANTA LIMON";56;259.85
1108;"CAFE SHAKEADO";53;258
201;"SPRITE";52;257
641;"BOTELLIN SIN GLUTEN";43;252.4
1260;"Luis Anxo Viña de Martín Escolma 2018 - Treixadura, Torrontes, Albariño, Ladó (D.O. Ribeiro)";2;250
968;"dulce TOKAJ CHETEAU DERESLA COPA";22;248.4
487;"ACEITUNAS";133;248.2
1581;"PARGO 1,9 KG";1;247
1656;"GALLO 1,9 KG";1;247
212;"ZUMO MELOCOTON";49;245
1349;"Jean Monnier, Meursault Les Rougeots 2019 - Chardonnay (A.O.C. Meursault)";1;245
78;"MEZCAL MULE";19;241.5
1073;"Aline Beaune 1er Cru Montagny";2;240
1328;"Domaine Gitton Sancerre Silex Galinot 2022 - Sauvignon Blanc (A.O.C. Sancerre)";2;240
1370;"Aline Beaune Montagny 2022 - Chardonnay (A.O.C. Montagny)";3;240
1374;"Michel Juillot Mercurey Blanc Maillonge 2022 - Chardonnay (A.O.C. Mercurey)";2;240
1376;"Gérard Bertrand Aigle Royal 2021 - Chardonnay (A.O.C. Limoux)";2;240
1471;"Domaine de la Cras Équilibriste Rouge 2023 - Pinot Noir (A.O.C. Bourgogne)";2;240
2026;"Marc Morey Les Chenovettes";1;240
222;"MARTIN MILLER";27;236.4
720;"J.M.BOUZERAU MEURSAULT LES NARVAUX";1;235
1351;"Jean-Marie Bouzerau, 1er Cru Les Poruzots 2022 - Chardonnay (A.O.C. Meursault)";2;235
1621;"DORADA 0,9 KG";3;234
1646;"GALLO 0,9 KG";2;234
1672;"LENGUADO 1,0 KG";2;230
1277;"Quinta Esencia Sofros 2022 - Godello (D.O. Bierzo)";4;225
274;"ANTICA FORMULA";29;224
1629;"DORADA 1,7 KG";1;221
1704;"LUBINA 1,7 KG";1;221
1750;"VIRREY 1,3 KG";1;221
304;"FREREJEAN FRÈRES BRUT";2;220
815;"2022 Majuelo El Espejo, La Seca  M.Cantalapiedra";2;220
823;"2022 Marc Morey Chassagne-Montrachet, 1er Cru Les chenevottes";1;220
1189;"Frerejean Frères Grand Réserve - Brut";2;220
1344;"Jean-Marc Boillot, Meursault 2021 - Chardonnay (A.O.C. Meursault)";1;220
1453;"Domaine Chapuis, Aloxe-Corton 2019 - Pinot Noir (A.O.C. Aloxe-Corton)";1;220
271;"CAMPARI";19;218
1514;"LIMONADA FRESA";18;217.1
1433;"Oxer Wines Suzzane 2022 - Garnacha (D.O.Ca. Rioja)";3;215
986;"LANGOSTA CON PATATAS Y HUEVOS";0.85;212.5
312;"AGRAPART ET FILS TERROIRS BLANC DE BLANC";1;210
982;"ismael gonzalez sin nombre";3;210
1288;"Miquel Gelabert Roure Selección Especial 2021 - Chardonnay (D.O. Mallorca)";3;210
665;"DENTON";1;208
1570;"PARGO 0,8 KG";2;208
1678;"LENGUADO 1,6 KG";1;208
1770;"ROTJA 0,8 KG";2;208
1803;"DENTON 1,6 KG";1;208
140;"VIRGIN PIÑA COLADA";19;204
1534;"NOTABLOODY";13;204
1749;"VIRREY 1,2 KG";1;204
1923;"CAIPIRINHA";12;204
613;"LIMONADA SIN AZUCAR";26;203.2
991;"SANGRIA TINTO";4;200
1242;"Juan Valdelana Viñedo Singular 2022 - Viura (D.O. Rioja)";4;200
1289;"Seny 2024 - Malvasia, Macabeo (D.O. Mallorca)";4;200
1306;"Domaine Jean Collet & Fils Les Clos 2022 - Chardonnay (A.O.C. Chablis)";1;200
2051;"VIRREY 1'1KG";1;198
2048;"PAJEL 1'5KG";1;195
84;"MOJITO PASSION FRUIT";13;192
97;"AMARETTO SOUR";14;192
224;"MONKEY 47";13;192
265;"400 CONEJOS";20;191
1215;"R. Pouillon & Fils Soléra M.F.P. - Brut";1;190
1915;"Alain & Raphaël Corcia Mercurey 1er Cru Les Crets";2;190
232;"TANQUERAY TEN";14;182
1626;"DORADA 1,4 KG";1;182
807;"2022 Rully  Domaine Sylvain Debord";2;180
966;"DE LA RIVA, MANZANILLA FINA COPA";18;180
974;"DON JULIO REPOSADO";15;180
1281;"'David Fernández Masdache ''La Magdalena'' 2023 - Listan Blanco, Malvasia Volcanica (D.O. Islas Cana";2;180
1358;"Domaine Thibert Saint-Veran 2019 - Chardonnay (A.O.C. Saint-Véran)";2;180
1415;"Cruz del Alba Finca Hoyales 2019 - Tempranillo (D.O. Ribera del Duero)";1;180
1464;"Jean Foillard Morgan, Cote du Py 2022 - Gamay (A.O.C. Morgon)";2;180
1466;"Gros Ch & Fils, Nuits-Saint Georges Tribourgs 2020 - Pinot Noir (A.O.C. Nuits-Saint-Georges)";1;180
1478;"Alter Ego de Palmer 2019 - Merlot, Cabernet Sauvignon, Petit Verdot (A.O.C. Margaux)";1;180
1919;"La lune noir 2023";1;180
2050;"VIRREY 1KG";1;180
1160;"Pan Brasa";76;172
689;"DOMAINE RAOUL, GAUTHERIN & FILS VAUDESIR 2022";1;170
1071;"Fleurot Larose Santenay Clos du Passetemps";1;170
1849;"ALFONSINO 1,2 KG";1;168
1054;"Adega Dona Paca Nosa";3;165
830;"2021 La Guiana  Sangarida";2;160
1305;"Domaine Jean Collet & Fils Grand Cru Valmur 2021 - Chardonnay (A.O.C. Chablis)";1;160
1361;"Domaine Nicolas Maillet Macon 2023 - Chardonnay (A.O.C. Macon)";2;160
1404;"Cesar Marquez El Rapolao 2022 - Mencía (D.O. Bierzo)";2;160
1889;"CALAMAR 1KG";4;160
1956;"LANGOSTA 0,8 KG";1;160
605;"RISTRETO";80;157.5
260;"CASAMIGOS BLANCO";18;157.2
62;"COCKTAIL DEL DIA";11;156
1428;"R. Monge La Pacha 2023 - Tempranillo (D.O.Ca. Rioja)";3;155
954;"RON ANGOSTURA";12;154
1906;"Charlopin Tissier, Marsannay Les Longeroies";2;154
1976;"La Guixera El Mar Fóssil";2;153
399;"SASESIBO ROSADO IBIZA";3;150
818;"2023 Iraun Oxer";2;150
1138;"Armand Heitz Saint Romain 2020";1;150
1229;"Richard Juhlin Sparkling No Alcohol 2018 - Brut";3;150
1341;"Domaine Bohrmann Clos sous le Chateau Monopole 2020 - Chardonnay (A.O.C. Saint-Romain)";1;150
1426;"Comando G Reina de los Deseos 2018 - Garnacha (D.O. Vinos de Madrid)";1;150
93;"MEZCAL MARGARITA";9;144
1885;"CALAMAR 600G";3;144
239;"BELUGA GOLD";7;140
392;"ROSADO 32 LEVANTE";2;140
794;"2022  Nas Dunas  Fulcro Nas Dunas 2022";1;140
1917;"Pulpo Brasa";5;140
1382;"Santa Duc Côtes du Rhône Blanc 2023 - Grenache Blanc, Clairette, Roussanne";4;138
257;"7 LEGUAS BLANCO";12;137
108;"AMERICANO";9;135
1472;"'Domaine Pernot Bourgogne Côte d''Or 2023 - Pinot Noir (A.O.C. Bourgogne)'";3;135
1527;"Ummi grapefruit";15;135
174;"CARAJILLO LICOR 43";25;132
316;"BRUNO PAILLARD EXTRA BRUT";1;130
690;"DOMAINE RAOUL, GAUTHERIN & FILS VAILLONS 2021";1;130
817;"2022 Espenyallucs Enric Soler";1;130
858;"2021 Pazo de Sinsela  Forjas del Salnes";1;130
871;"2021 1er Cru Vaillons  Roaul Gautherin & Fils";1;130
1048;"Rive Gauche Gamet";1;130
1252;"Pazo de Sinsela Forjas del Salnés 2021 - Albariño (D.O. Rias Baixas)";1;130
1293;"Bründlmayer 2022 - Grüner Veltliner (Austria)";2;130
1331;"'Domaine Roc de L''Abbaye Tradition 2022 Magnum 150cl - Sauvignon Blanc (A.O.C. Pouilly-Fumé)'";2;130
1372;"Armand Heitz, Saint-Aubin Travers De Chez Edouard 2022 - Chardonnay (A.O.C. Saint-Aubin)";1;130
98;"PISCO SOUR";9;128
814;"2023 Mondo  M.Cantalapiedra";2;120
820;"2022 Ceibo Xurxo";2;120
822;""2018 LADOIX ""Sur Les Vris""  Fran�ois de Nicolay "";1;120
896;"2018 Chez Edouard  Armand Heitz";1;120
932;"Nuria Renom Atonit";1;120
951;"La calma";1;120
957;"Chablis Thomas Pico 2022";1;120
1195;"Veuve Fourny & Fils Grands Terroirs - Brut";2;120
1230;"Nuria Renom Atonit 2022 - Xarello (D.O. Penedés)";1;120
1235;"Edetaria Terrenal 2021 - Garnacha Blanca";1;120
1236;"Frontonio, Elastico 2023 - Macabeo, Garnacha";1;120
1269;"M.Cantalapiedra Mondo 2023 - Verdejo (D.O. Castilla y León)";2;120
1271;"M. Cantalapiedra Majuelo El Espejo 2023 - Verdejo (D.O. Castilla y León)";1;120
1431;"Olivier Rivière Rayos UVA 2023 - Tempranillo (D.O.Ca. Rioja)";2;120
2033;"2 SALSAS";15;120
2043;"Sashimi Tarantelo";5;120
2052;"Solideo";1;120
813;"2022 Majuelo del Chiviritero  M.Cantalapiedra";2;119
1528;"UMMI Mango";15;117
1571;"PARGO 0,9 KG";1;117
282;"BAILEYS";46;114
85;"MOJITO MANGO";7;112
233;"TANQUERAY";9;112
187;"INFUSION MENTA";38;110.95
154;"TINTO DE VERANO";11;110
1266;"M.Cantalapiedra Espejo La Seca 2023 - Verdejo (D.O. Castilla y León)";1;110
1406;"Gutier Seijo Mixtura Blue 2021 - Mencía (D.O. Bierzo)";1;110
1423;"Finca Valhonta Lalomba 2018 - Tempranillo (D.O. Toro)";1;110
136;"VIRGIN MOJITO FRESA";9;108
180;"TE VERDE";35;105
972;"CASAMIGOS REPOSADO";15;104
1645;"GALLO 0,8 KG";1;104
551;"ENRIC SOLER 2019 IMPROVISACIO";1;100
701;"ESPENYALLUCHS, ENRIC SOLER 2017";1;100
870;"2022 Chablis  Laurent Tribut Dauvissat";1;100
1214;"Jacques Picard Double Soléra - Brut Nature";1;100
1375;"Gérard Bertrand La Sauvageonne 2021 - Chardonnay (A.O.C. Languedoc)";1;100
1437;"'Frederic Magnien, Bourgogne Côte d''or 2021 - Pinot Noir (A.O.C. Burgundy)'";1;100
1447;"Maison Fang Saint-Aubin 1er Cru Sur le Sentier du Clou 2021 - Pinot Noir (A.O.C. Saint-Aubin)";1;100
1475;"Jules Desjourneys Beaujolais Rouge 2022 - Gamay (A.O.C. Beaujolais)";2;100
2036;"PIPARRA ASADA";11;100
181;"MANZANILLA";40;98
494;"COCKTAIL DEL DIA";9;96
1883;"CALAMAR 400G";3;96
655;"BESUGO (seabream)";1;91
349;"ENRIC SOLER 2022 IMPROVISACIO";1;90
576;"JEAN FOILLARD, MORGON, COTE DU PY";1;90
867;"2013 Trittenheimer Aphoteke  Grans Fassian";1;90
1359;"Jules Desjourneys Macon-Prissé 2020 - Chardonnay (A.O.C. Macon-Prissé)";1;90
1369;"Domaine Claudie Jobard 2022 - Chardonnay (A.O.C. Montagny)";1;90
1377;"'Savagnin ''La Pierre'' 2022 - Savagnin (A.O.C. Côtes du Jura)'";1;90
1378;"Domaine Sylvain Debord Rully 2022 - Chardonnay (A.O.C. Rully)";1;90
1503;"POLO limon";11;88
801;"2022  Rose  Chateau Pibarnon";1;85
828;"2021 Embaixador  Attis";1;80
1420;"Magna Vides Tinto 2023 - Tempranillo, Albillo (D.O. Ribera del Duero)";1;80
1884;"CALAMAR 500G";2;80
202;"TONICA";188;77.15
337;"OSSIAN 2021";1;75
1870;"Zuccardi, Zaha, Mendoza";1;75
2032;"Terra Cota";1;75
139;"VIRGIN MOJITO PASSION";6;72
1882;"CALAMAR 300G";3;72
219;"CLARA SPRITE";13;71
805;"2022 La Vendangette  La Croix-Canat";1;70
1454;"Ollieux Romanis, Atal Sia 2018 - Pinot Noir (A.O.C. Languedoc)";1;70
2017;"Cati Ribot Son Llebre";1;70
206;"GINGER BEER";14;66.5
1287;"Oliver Moragues 2024 - Giró Ros (D.O. Mallorca)";1;65
2010;"KATSUSANDO";1;65
2009;"LOBSTER ROLL";3;64.6
83;"MOJITO COCO";4;64
582;"MAESTRO DOBEL";10.5;64
1109;"CARAJILLO SHAKERATO (MEXICANO)";9;63
138;"VIRGIN MOJITO COCO";5;60
688;"DOMAINE ROC DE L'ABBAYE CUVEE TRADITION 2022";1;60
694;"FX SIERRA DE CANTABRIA";1;60
1007;"Tokaj Chateau Derezla";1;60
1090;"Vidonia Trenzado";1;60
1299;"Armand Heitz Bourgogne Blanc 2022 - Chardonnay (A.O.C. Bourgogne)";1;60
188;"INFUSION GINGER";19;59.5
163;"LATTE MACHIATTO";16;56
1016;"servicio hielo y limon";363;55
283;"AMARETTO";11;54
297;"HENESSY VSOP";3;54
518;"OLD FASHION";3;54
952;"HIBIKI";4;54
971;"CASAMIGOS";3;54
291;"LICOR 43";7;52
812;"2024 Cantayano  Cantalapiedra";1;50
980;"valdelana viñedo singular";1;50
973;"DONJULIO BLANCO";7;49
205;"NESTEA";11;48.15
99;"WHISKY SOUR";4;48
2007;"CHEESEBURGUER";2;47.6
1177;"Domaine David Duband, Gevrey-Chambertin 2017 - Pinot Noir";1;45
1180;"Tokaji Aszú 5 Puttonyos 2019 - Furmint, Hárslevelű";4;45
1518;"Ummi mango";3;45
2008;"BOCATA CALAMARES";2;44.2
171;"CARAJILLO BRANDY";9;42
1509;"Amaras logia cenizo";3;42
203;"SODA";34;40.5
1173;"'Jean Monnier, Mersault 1er Cru ''Les Charmes'' 2020 - Chardonnay'";1;40
615;"dobel 50 cristalino extra añejo";2;38
213;"ZUMO TOMATE";8;37
169;"CARAJILLO RON";10;36
711;"FRENCH 75";2;36
94;"TOMMY'S MARGARITA";3;32
102;"VODKA SOUR";2;32
248;"MAKERS MARK";2;30
1425;"'Jon D''Anguera L''Hostal Darnos 2021 - Garnacha (D.O. Monstant)'";1;30
184;"EARL GREY";8;28
253;"TEELING IRISH WHISKY";2;28
2005;"TEQUEÑOS";2;27.2
270;"APEROL";3;27
531;"GRAPA";5;27
177;"EXTRA LECHE";31;26
1023;"Chupito Limon";48;26
632;"EL DORADO 21 AÑOS";3;25
1490;"Trediberri Barolo 2021 - Nebbiolo (D.O.C.G. Barolo)";1;25
141;"VIRGIN DAIQUIRI FRESA";5;24
268;"CONTRALUZ";2;24
284;"FRANGELICO";5;24
502;"CONTRALUZ CRISTALINO";1;21
264;"MEZCAL KOCH";3;20
1975;"Lise & Bertrand Jousset Premier Rendez Vous";1;20
1529;"Mezcal mule";1;19
273;"MARTINI BIANCO";2;18
275;"LILLET BLANC";2;18
631;"BRANDY 1866";2;18
1993;"MEJILLON ESCABECHE";1;18
1997;"CHICHARRON";1;18
101;"MEZCAL SOUR";1;16
2013;"POLOS MANGO";2;16
258;"CLASE AZUL PLATA";2;15
486;"BOURDEAUX COPA";1;15
179;"TE ROJO";4;14
636;"ARMAND HEITZ, BOURGOGNE ROUGE COPA";1;14
2000;"ENSALADILLA";1;14
2072;"BOMBAY SAPHIR";1;13
2006;"BIQUINI BRASA";1;12.6
144;"VIRGIN MULE";1;12
170;"CARAJILLO WHISKY";5;12
278;"SAMBUCA";2;12
1020;"Hielo";270;12
207;"GRAPEFRUIT soda";6;11
1024;"PIPARRA ASADA";1;8
2031;"Salsa extra";1;8
178;"EXTRA COFFEE";3;4.5
2022;"CHUPITO LIMON";4;4
1119;"extra patatas chips";1;2.5
1117;"mayonesa";48;2
194;"EXTRA LECHE";1;1
1021;"Limon";53;1
1022;"Limon Exprimir";12;1
1989;"TOTOPOS";2;0.17
2024;"SERVICIO HIELO LIMON";10;0.1
1979;"GUACAMOLE Y TOTOPOS";17;0.07
1980;"CAMPECHANA";17;0.07
1981;"TOSTADA CEVICHE";17;0.07
1982;"TOSTADA TXANGURRO";17;0.07
1983;"CEVICHE LANGOSTA";17;0.07
1984;"TACO MERO";17;0.07
1985;"GRINGA PORC NEGRE";17;0.07
1986;"TALLA ROTJA";17;0.07
1987;"BUÑUELO MEZCAL";16;0.07
1988;"PASSION TRES LECHES";18;0.07
56;"PUNTO";76;0
57;"PUNTO +";13;0
58;"PUNTO -";62;0
59;"MUY HECHO";7;0
60;"POCO HECHO";11;0
137;"VIRGIN MOJITO MANGO";1;0
286;"AMARO MONTENEGRO";3;0
308;"CHARLES HEIDSIECK BRUT RESERVE";1;0
393;"LECHE AVENA";317;0
394;"LECHE ENTERA";1249;0
395;"LECHE SIN LACTOSA";10;0
397;"SIN LECHE";81;0
501;"GIN RAWBOT";1;0
596;"FAMILLE PAQUET, POULLY-FUISSÈ, EN SERVY";1;0
768;"SIN SALSA";14.6;0
769;"BULLIT";65.65;0
770;"PILPIL";694;0
771;"BRASA";67.4;0
797;"2021  Salles Martin Blanc A. Sanzay";1;0
962;"LONDON MULE";2;0
975;"DON JULIO 70";2;0
1118;"ketchup";44;0
1183;"Timothee Stroebel Heraclite Blanc de Meunier - Brut Nature";1;0
1365;"François de Nicolay, Ladoix Sur Les Vris 2018 - Chardonnay (A.O.C. Ladoix)";1;0
1526;"El Val Cesar Marquez 2022";1;0
1555;"1";71;0
1556;"2";140;0
1557;"3";76;0
1558;"4";120;0
1559;"5";43;0
1560;"6";30;0
1561;"7";8;0
1562;"8";20;0
1991;"Aceitunas";3;0
2027;"PESCADO EVENTO";8;0
2028;"CARNE EVENTO";1;0
